descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,source_file
,1947,50000,Davao Oriental,MALALOG LOAM,Davao_SoilMap,SOIL,213.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,MATINA CLAY LOAM,Davao_SoilMap,SOIL,206.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,MOUNTAIN SOILS,Davao_SoilMap,SOIL,45.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,BOLINAO CLAY,Davao_SoilMap,SOIL,153.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,HYDROSOL,Davao_SoilMap,SOIL,1.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,CAMANSA SANDY CLAY LOAM,Davao_SoilMap,SOIL,210.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,CABANGAN CLAY LOAM,Davao_SoilMap,SOIL,161.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,FARAON CLAY,Davao_SoilMap,SOIL,132.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,CABANTIAN CLAY,Davao_SoilMap,SOIL,208.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,KIDAPOWAN CLAY LOAM,Davao_SoilMap,SOIL,211.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,TUGBOK CLAY,Davao_SoilMap,SOIL,207.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,MIRAL CLAY LOAM,Davao_SoilMap,SOIL,209.0,0,0,KODA_Datasets - Davao Soil Data.csv
,1947,50000,Davao Oriental,MADUNGO CLAY LOAM,Davao_SoilMap,SOIL,212.0,0,0,KODA_Datasets - Davao Soil Data.csv
ADTUYON CLAY LOAM,1972,250000,Misamis Occidental,ADTUYON CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,573.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
AOTUYON LOAM,1972,250000,Misamis Occidental,AOTUYON LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,523.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
HYDROSOL,1972,250000,Misamis Occidental,HYDROSOL,Misamis_Oc_Soil_250thsnd_1,SOIL,1.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
KABACAN CLAY LOAM,1972,250000,Misamis Occidental,KABACAN CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,453.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
BANTOG CLAY,1972,250000,Misamis Occidental,BANTOG CLAY,Misamis_Oc_Soil_250thsnd_1,SOIL,228.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
CAMIGUIN CLAY,1972,250000,Misamis Occidental,CAMIGUIN CLAY,Misamis_Oc_Soil_250thsnd_1,SOIL,579.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
ADUTYON CLAY,1972,250000,Misamis Occidental,ADUTYON CLAY,Misamis_Oc_Soil_250thsnd_1,SOIL,323.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
CASTILLA CLAY LOAM,1972,250000,Misamis Occidental,CASTILLA CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,244.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
BALIANGOA CLAY LOAM,1972,250000,Misamis Occidental,BALIANGOA CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,816.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
MOUNTAIN SOILS,1972,250000,Misamis Occidental,MOUNTAIN SOILS,Misamis_Oc_Soil_250thsnd_1,SOIL,45.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
GUIMBALAON CLAY LOAM,1972,250000,Misamis Occidental,GUIMBALAON CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,280.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
PULUPANDAN SANDY LOAM,1972,250000,Misamis Occidental,PULUPANDAN SANDY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,255.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
QUINGUA SILT LOAM,1972,250000,Misamis Occidental,QUINGUA SILT LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,5.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
BEACH SAND,1972,250000,Misamis Occidental,BEACH SAND,Misamis_Oc_Soil_250thsnd_1,SOIL,118.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
JASOAN CLAY LOAM,1972,250000,Misamis Occidental,JASOAN CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,318.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
CULIS SANDY CLAY LOAM,1972,250000,Misamis Occidental,CULIS SANDY CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,672.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
GUIMBALAON CLAY LOAM STONY PHASE,1972,250000,Misamis Occidental,GUIMBALAON CLAY LOAM STONY PHASE,Misamis_Oc_Soil_250thsnd_1,SOIL,278.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
MABINBI SANDY CLAY LOAM,1972,250000,Misamis Occidental,MABINBI SANDY CLAY LOAM,Misamis_Oc_Soil_250thsnd_1,SOIL,815.0,0,0,KODA_Datasets - Misamis Occidental Soil Data.csv
MOUNTAIN SOILS,Unknown,50000,Misamis Oriental,MOUNTAIN SOILS,MisamisOriental_SoilMap,SOIL,45.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
JASOAN CLAY,Unknown,50000,Misamis Oriental,JASOAN CLAY,MisamisOriental_SoilMap,SOIL,317.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
SAN MANUEL LOAM,Unknown,50000,Misamis Oriental,SAN MANUEL LOAM,MisamisOriental_SoilMap,SOIL,190.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
JASOAN-BOLINAO COMPLEX,Unknown,50000,Misamis Oriental,JASOAN-BOLINAO COMPLEX,MisamisOriental_SoilMap,SOIL,321.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
UMINGAN CLAY LOAM,Unknown,50000,Misamis Oriental,UMINGAN CLAY LOAM,MisamisOriental_SoilMap,SOIL,168.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
NOT SHOWN IN LEGEND,Unknown,50000,Misamis Oriental,NOT SHOWN IN LEGEND,MisamisOriental_SoilMap,SOIL,116.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
MANBAJOA CLAY,Unknown,50000,Misamis Oriental,MANBAJOA CLAY,MisamisOriental_SoilMap,SOIL,315.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
CAMIGUIN CLAY,Unknown,50000,Misamis Oriental,CAMIGUIN CLAY,MisamisOriental_SoilMap,SOIL,320.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
HYDROSOL,Unknown,50000,Misamis Oriental,HYDROSOL,MisamisOriental_SoilMap,SOIL,1.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
BANTOG CLAY,Unknown,50000,Misamis Oriental,BANTOG CLAY,MisamisOriental_SoilMap,SOIL,228.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
ALLMODIAN CLAY LOAM,Unknown,50000,Misamis Oriental,ALLMODIAN CLAY LOAM,MisamisOriental_SoilMap,SOIL,126.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
BEACH SAND,Unknown,50000,Misamis Oriental,BEACH SAND,MisamisOriental_SoilMap,SOIL,118.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
BOLINAO CLAY,Unknown,50000,Misamis Oriental,BOLINAO CLAY,MisamisOriental_SoilMap,SOIL,153.0,0,0,KODA_Datasets - Misamis Oriental Soil Data.csv
