mag,longitude,latitude,depth,log_soil_polygon_hectares,month_sin,month_cos,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day,tsunami,magtype,aez,soil_series_grouped,soil_desc_grouped,depth_category
6.13,120.525,13.222,15.0,9.980189929397463,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,9,0,mw,Uplands,Alaminos,Other,Shallow
6.54,124.87,6.401,15.0,13.57646767531825,1.2246467991473532e-16,-1.0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,10,0,mw,Uplands,Faraon,Faraon clay,Shallow
6.31,124.98,11.777,55.0,10.208453760931476,-0.4999999999999997,-0.8660254037844388,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,25,0,mw,Lowlands,Other,Other,Shallow
7.27,122.47,7.95,35.0,12.805223407316229,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,21,0,mw,Lowlands,San Manuel,San Manuel silt loam,Shallow
5.98,122.453,17.05,35.0,12.086204029009279,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,15,0,mw,Uplands,Alaminos,Other,Shallow
6.07,124.256,6.308,25.0,15.784614769658228,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,30,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.07,126.368,7.324,15.0,15.784614769658228,1.0,6.123233995736766e-17,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,31,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.72,124.542,6.165,35.0,15.784614769658228,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,26,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
5.67,124.379,6.125,35.0,15.784614769658228,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,27,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.87,124.666,11.185,15.0,14.498784339188246,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,8,0,mw,Highlands,Rough mountain land,Rough mountain land,Shallow
7.8,122.235,10.714,15.0,13.078693964376722,0.49999999999999994,0.8660254037844387,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,25,0,mw,Highlands,Alimodian,Other,Shallow
5.8,122.341,11.287,35.0,15.784614769658228,0.49999999999999994,0.8660254037844387,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,25,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.83,122.205,10.698,35.0,13.078693964376722,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0.0,1.0,26,0,mw,Highlands,Alimodian,Other,Shallow
6.0,121.268,16.993,15.0,15.784614769658228,-1.0,-1.8369701987210297e-16,0.49999999999999994,-0.8660254037844387,0.0,1.0,5,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
6.03,121.319,17.345,15.0,15.784614769658228,-1.0,-1.8369701987210297e-16,0.258819045102521,-0.9659258262890682,0.0,1.0,5,0,mw,Highlands,Mountain soil,Mountain soil (undifferentiated),Shallow
7.21,121.538,17.439,15.0,9.827221933673668,-2.4492935982947064e-16,1.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,29,0,mw,Uplands,Other,Other,Shallow
6.82,122.49,10.487,25.0,13.57646767531825,1.0,6.123233995736766e-17,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,7,0,mw,Uplands,Faraon,Faraon clay,Shallow
6.06,125.421,9.679,15.0,11.392990223234573,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.9749279121818236,-0.22252093395631434,19,0,mw,Highlands,Kabatohan,Kabatohan loam,Shallow
5.82,122.59,9.828,15.0,11.916880620780644,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,29,0,mw,Uplands,Other,Other,Shallow
5.77,120.997,18.54,20.0,12.086204029009279,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,15,0,mw,Uplands,Alaminos,Other,Shallow
6.28,125.62,6.354,35.0,12.804010321873838,1.0,6.123233995736766e-17,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,15,0,mw,Uplands,Malalag,Malalag loam,Shallow
6.57,124.079,12.835,15.0,10.685079901103224,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,2,0,mw,Uplands,Other,Other,Shallow
5.89,126.432,7.106,35.0,13.279016894248912,-0.8660254037844385,-0.5000000000000004,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,21,0,mw,Highlands,Camansa,Camasan sandy clay loam,Shallow
6.31,122.576,9.649,15.0,12.814507180317696,1.0,6.123233995736766e-17,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,6,0,mw,Uplands,Faraon,Faraon clay (Steep phase),Shallow
7.37,123.157,7.658,35.0,12.191701404435882,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,mw,Uplands,Adtuyon,Other,Shallow
6.34,124.081,7.674,35.0,10.709191912846865,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,0,mw,Lowlands,Other,Other,Shallow
