descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
ISABELA CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,ISABELA CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,256,0,0,,
ISABELA CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,ISABELA CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,256,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
FARAON SANDY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,FARAON SANDY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,258,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MALIGAYA CLAY LOAM                                                                                                                                                                                                                                            ,1969,250000,Zamboanga del Norte                               ,MALIGAYA CLAY LOAM                                                                                                                                                                                                                                            ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,117,0,0,,
MALIGAYA CLAY LOAM                                                                                                                                                                                                                                            ,1969,250000,Zamboanga del Norte                               ,MALIGAYA CLAY LOAM                                                                                                                                                                                                                                            ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,117,0,0,,
MALIGAYA CLAY LOAM                                                                                                                                                                                                                                            ,1969,250000,Zamboanga del Norte                               ,MALIGAYA CLAY LOAM                                                                                                                                                                                                                                            ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,117,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
BEACH SAND                                                                                                                                                                                                                                                    ,1969,250000,Zamboanga del Norte                               ,BEACH SAND                                                                                                                                                                                                                                                    ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,118,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1969,250000,Zamboanga del Norte                               ,HYDROSOL                                                                                                                                                                                                                                                      ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,1969,250000,Zamboanga del Norte                               ,MANDAW CLAY LOAM                                                                                                                                                                                                                                              ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,157,0,0,,
ROCK LAND                                                                                                                                                                                                                                                     ,1969,250000,Zamboanga del Norte                               ,ROCK LAND                                                                                                                                                                                                                                                     ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,599,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1969,250000,Zamboanga del Norte                               ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,109,0,0,,
ADUTYON CLAY                                                                                                                                                                                                                                                  ,1969,250000,Zamboanga del Norte                               ,ADUTYON CLAY                                                                                                                                                                                                                                                  ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,323,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1969,250000,Zamboanga del Norte                               ,HYDROSOL                                                                                                                                                                                                                                                      ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,1,0,0,,
S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,1969,250000,Zamboanga del Norte                               ,S. MANUEL CLAY LOAM                                                                                                                                                                                                                                           ,ZamboangaDelNorte_SoilMap                                                                                                                                                                                                                                     ,SOIL                                              ,236,0,0,,
